text,count,percentage
"J. M. Hoekstra and J. Ellerbroek, ""[BlueSky ATC Simulator Project: an Open Data and Open Source Approach] https://www.researchgate.net/publication/304490055_BlueSky_ATC_Simulator_Project_an_Open_Data_and_Open_Source_Approach"", Proceedings of the seventh International Conference for Research on Air Transport (ICRAT), 2016",2,1.26
"[Jünger, Jakob] https://www.uni-muenster.de/Kowi/personen/jakob-juenger.html / [Keyling, Till] http://tillkeyling.com/ (2019). Facepager. An application for automated data retrieval on the web. Source code and releases available at https://github.com/strohne/Facepager/",1,0.63
"Gutiérrez Hermosillo Muriedas, J.P., Flügel, K., Debus, C., Obermaier, H., Streit, A., Götz, M.: perun: Benchmarking Energy Consumption of High-Performance Computing Applications. In: Cano, J., Dikaiakos, M.D., Papadopoulos, G.A., Pericàs, M., and Sakellariou, R. (eds.) Euro-Par 2023: Parallel Processing. pp. 17–31. Springer Nature Switzerland, Cham (2023). https://doi.org/10.1007/978-3-031-39698-4_2",1,0.63
"Piter A, Haghshenas Haghighi M, FERN.Lab, Motagh M (2024). SARvey - survey with SAR [version]. Zenodo. https://doi.org/10.5281/zenodo.12544130",1,0.63
"Boykov Y, Kolmogorov V (2004). An experimental comparison of min-cut/max- flow algorithms for energy minimization in vision. IEEE Transactions on Pattern Analysis and Machine Intelligence 26(9):1124–1137, DOI 10.1109/TPAMI.2004.60",1,0.63
"Cheng et al., (2024). GrainLearning: A Bayesian uncertainty quantification toolbox for discrete and continuum numerical models of granular materials. Journal of Open Source Software, 9(97), 6338, [10.21105/joss.06338] https://doi.org/10.21105/joss.06338",1,0.63
"H. Cheng, T. Shuku, K. Thoeni, P. Tempone, S. Luding, V. Magnanimo. An iterative Bayesian filtering framework for\n\nfast and automated calibration of DEM models. _Comput. Methods Appl. Mech. Eng.,_ 350 (2019), pp. 268-294, [10.1016/j.cma.2019.01.027] https://doi.org/10.1016/j.cma.2019.01.027",1,0.63
"McElroy, Wood, Bond, Mulvenna, Shevlin, Ploubidis, Scopel Hoffmann, Moltrecht, [Using natural language processing to facilitate the harmonisation of mental health questionnaires: a validation study using real-world data] https://bmcpsychiatry.biomedcentral.com/articles/10.1186/s12888-024-05954-2#citeas. BMC Psychiatry 24, 530 (2024), https://doi.org/10.1186/s12888-024-05954-2",1,0.63
"Timothy C. Lethbridge, Andrew Forward, Omar Badreddin, Dusan Brestovansky, Miguel Garzon, Hamoud Aljamaan, Sultan Eid, Ahmed Husseini Orabi, Mahmoud Husseini Orabi, Vahdat Abdelzad, Opeyemi Adesina, Aliaa Alghamdi, Abdulaziz Algablan, Amid Zakariapour, ""Umple: Model-Driven Development for Open Source and Education"", _Science of Computer Programming_, 2021, https://doi.org/10.1016/j.scico.2021.102665",1,0.63
"University of Ottawa, Umple, https://umple.org/releases https://doi.org/10.5281/zenodo.4677562",1,0.63
"Dekker, M., Würschinger, C., Kalverla, P., & Verhoeven, S. Effort sharing [Computer software]. https://github.com/imagepbl/effort-sharing",1,0.63
"Cacace, M., Blöcher, G. MeshIt - a software for three dimensional volumetric meshing of complex faulted reservoirs. Environ Earth Sci 74, 5191–5209 (2015). https://doi.org/10.1007/s12665-015-4537-x",1,0.63
"Duplay, Emmanuel. “Argon Laser-Plasma Thruster - Design and Test of a Laboratory Model - Processing and Analysis Code.” 4TU.ResearchData, 2023. https://doi.org/10.4121/e0d30ad2-cdca-45a6-84d6-34d95db49b2c",1,0.63
"Rongier, G. (2021) voxgan. v1. CSIRO. Software Collection. https://doi.org/10.25919/cdgf-cw44",1,0.63
"Ramírez F, Ryan DP, Grüning B, Bhardwaj V, Kilpert F, Richter AS, Heyne S, Dündar F, Manke T. deepTools2: a next generation web server for deep-sequencing data analysis. __ Nucleic Acids Research. 2016 Apr 13:gkw257",1,0.63
"Ramírez F, Ryan DP, Grüning B, Bhardwaj V, Kilpert F, Richter AS, Heyne S, Dündar F, Manke T. [deepTools2: a next generation web server for deep-sequencing data analysis.] https://nar.oxfordjournals.org/content/early/2016/04/12/nar.gkw257.abstract Nucleic Acids Research. 2016 Apr 13:gkw257",1,0.63
Gewaltig M-O & Diesmann M (2007) NEST (Neural Simulation Tool) Scholarpedia 2(4):1430,1,0.63
"Leweke, S.; Breuer, J.; Schmölder, J.; Jäpel, R.; Lanzrath, H.; Rao, J.; Hassan, J.; Zhang, W.; Berger, A.; Heymann, W.; von Lieres, E.: CADET-Core 5.0: High-Performance Solver for Advanced Biotechnology Process Modeling _, Journal of Open Source Software 10 (2025), 7881",1,0.63
"Leweke, S.; von Lieres, E.: Chromatography Analysis and Design Toolkit (CADET) _, Computers and Chemical Engineering 113 (2018), 274–294",1,0.63
"Piter A, Haghshenas Haghighi M, Motagh M (2024). Challenges and Opportunities of Sentinel-1 InSAR for Transport Infrastructure Monitoring. PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science, 92, 609-627",1,0.63
"Reliable cross-ion mode chemical similarity prediction between MS2 spectra Niek de Jonge, David Joas, Lem-Joe Truong, Justin J.J. van der Hooft, Florian Huber bioRxiv 2024.03.25.586580; doi: https://doi.org/10.1101/2024.03.25.586580",1,0.63
"Breuer, J. M.; Leweke, S.; Schmölder, J.; Gassner, G.; von Lieres, E.: Spatial discontinuous Galerkin spectral element method for a family of chromatography models in CADET _, Computers and Chemical Engineering 177 (2023), 108340",1,0.63
Shahab Sanjari. (2023). iqtools: Collection of code for working with offline complex valued time series data in Python. Zenodo. https://doi.org/10.5281/zenodo.7615693,1,0.63
"Geometry controlled refinement for hexahedra (Part 1): Elsweijer, Sandro (2021) Curved Domain Adaptive Mesh Refinement with Hexahedra. Tech report, Hochschule Bonn-Rhein-Sieg. [Full text available] https://elib.dlr.de/186571/1/masterprojekt-2_elsweijer_ABGABEVERSION_TITEL.pdf",1,0.63
"Subelement and resolving hanging faces in 2D: Becker, Florian (2021) Removing hanging faces from tree-based adaptive meshes for numerical simulation, Master's thesis, Universität zu Köln. [Full text available] https://elib.dlr.de/187499/1/RemovingHangingFacesFromTreeBasedAMR.pdf",1,0.63
"Coarsening as post-processing to reduce simulation file size: Spataro, Luca (2021) Lossy data compression for atmospheric chemistry using adaptive mesh coarsening. Master's thesis, Technische Universität München. [Full text available] https://elib.dlr.de/144997/1/master-thesis-final-spataro.pdf",1,0.63
"Geometry controlled refinement for hexahedra (Part 2): Elsweijer, Sandro (2022) Evaluation and generic application scenarios for curved hexahedral adaptive mesh refinement. Master's thesis, Hochschule Bonn-Rhein-Sieg. [10.13140/RG.2.2.34714.11203]() [Full text available] https://elib.dlr.de/186561/1/sandro_elsweijer-evaluation_and_generic_application_scenarios_for_curved_hexahedral_adaptive_mesh_refinement.pdf",1,0.63
"Multigrid and other preconditioners for DG: Böing, Niklas (2022) Evaluation of preconditioners for implicit solvers of local DG for the advection-diffusion equation (Untersuchung von Präkonditionierern für implizite Löser für das Local DG-Verfahren zur Lösung der Advektions-Diffusionsgleichung). Master's thesis, Universität zu Köln. [Full text available] https://elib.dlr.de/186347/1/Untersuchung%20von%20Pr%C3%A4konditionierern%20f%C3%BCr%20implizite%20L%C3%B6ser%20f%C3%BCr%20das%20Local%20DG-Verfahren%20zur%20L%C3%B6sung%20der%20Advektions-Diffusionsgleichung.pdf",1,0.63
"Removing elements from the mesh (cutting holes): Lilikakis, Ioannis (2022) Algorithms for tree-based adaptive meshes with incomplete trees. Master's thesis, Universität zu Köln. [Full text may be available in future] https://elib.dlr.de/191968/ [J] Curved tetrahedra: Fussbroich Jakob (2023) Towards high-order, hybrid adaptive mesh refinement: Implementation and evaluation of curved unstructured mesh elements. Master's thesis. Technische Hochschule Köln. [Full text available] https://elib.dlr.de/200442/",1,0.63
