text,count,percentage
https://doi.org/10.5281/zenodo.7568610,3,1.25
https://zenodo.org/badge/latestdoi/26165004,2,0.83
https://doi.org/10.5281/zenodo.7123965,2,0.83
https://doi.org/10.5281/zenodo.3484711,2,0.83
https://zenodo.org/badge/latestdoi/472769298,2,0.83
https://doi.org/10.5281/zenodo.7034838,2,0.83
https://zenodo.org/badge/latestdoi/29671667,2,0.83
https://doi.org/10.5281/zenodo.7615693,2,0.83
https://doi.org/10.21105/joss.06434,2,0.83
https://zenodo.org/records/13643609,2,0.83
https://zenodo.org/record/5592606,2,0.83
https://doi.org/10.5281/zenodo.3879615,2,0.83
https://doi.org/10.5281/zenodo.15309163,2,0.83
https://doi.org/10.1101/2024.04.14.589409,2,0.83
https://zenodo.org/badge/latestdoi/19641/3D-e-Chem/3D-e-Chem-VM,2,0.83
https://doi.org/10.21105/joss.05415,2,0.83
https://zenodo.org/search?q=title%3ANEST%20AND%20-description%3Agraphical%20AND%20simulator&l=list&p=1&s=10&sort=publication-desc,1,0.42
https://doi.org/10.5281/zenodo.6334809,1,0.42
https://zenodo.org/badge/latestdoi/41397174,1,0.42
https://doi.org/10.5281/zenodo.16268320,1,0.42
https://zenodo.org/badge/latestdoi/32992365,1,0.42
https://doi.org/10.5281/zenodo.4327281,1,0.42
https://zenodo.org/doi/10.5281/zenodo.10213943,1,0.42
https://doi.org/10.5281/zenodo.13897560,1,0.42
https://zenodo.org/badge/latestdoi/413814951,1,0.42
https://zenodo.org/badge/latestdoi/132437444,1,0.42
https://doi.org/10.25919/cdgf-cw44,1,0.42
https://doi.org/10.1186/s12859-024-05858-8,1,0.42
https://joss.theoj.org/papers/282a9ec56a0680e51ed4f1fa8fda3650,1,0.42
https://doi.org/10.5281/zenodo.1054134,1,0.42
https://doi.org/10.5281/zenodo.15180602,1,0.42
https://doi.org/10.5281/zenodo.3842780,1,0.42
https://doi.org/10.5281/zenodo.8042547,1,0.42
https://doi.org/10.5281/zenodo.8179015,1,0.42
https://doi.org/10.5281/zenodo.10834751,1,0.42
https://zenodo.org/badge/latestdoi/617944717,1,0.42
https://doi.org/10.5281/zenodo.13938389,1,0.42
https://doi.org/10.5281/zenodo.17305936,1,0.42
https://zenodo.org/badge/latestdoi/44877908,1,0.42
https://joss.theoj.org/papers/165c85b1ecad891550a21b12c8b2e577,1,0.42
https://zenodo.org/badge/latestdoi/270940268,1,0.42
https://zenodo.org/badge/latestdoi/87794116,1,0.42
https://doi.org/10.21105/joss.06288,1,0.42
https://zenodo.org/records/16898575,1,0.42
https://doi.org/10.5281/zenodo.10522421,1,0.42
https://doi.org/10.5281/zenodo.14934232,1,0.42
https://zenodo.org/badge/latestdoi/253474603,1,0.42
https://doi.org/10.5281/zenodo.10994947,1,0.42
https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btx810/4747887?guestAccessKey=da7a1811-354a-4445-8084-cae44ccafd6f,1,0.42
https://doi.org/10.5281/zenodo.926820,1,0.42
https://zenodo.org/badge/latestdoi/310047938,1,0.42
https://zenodo.org/badge/latestdoi/319607706,1,0.42
https://zenodo.org/badge/latestdoi/161313748,1,0.42
https://doi.org/10.5281/zenodo.10143595,1,0.42
https://doi.org/10.5281/zenodo.5815148,1,0.42
https://zenodo.org/doi/10.5281/zenodo.10261948,1,0.42
https://zenodo.org/badge/latestdoi/523363424,1,0.42
https://doi.org/10.5281/zenodo.1435860,1,0.42
https://zenodo.org/badge/latestdoi/169708827,1,0.42
https://doi.org/10.21105/joss.06338,1,0.42
https://doi.org/10.5281/zenodo.12544130,1,0.42
https://doi.org/10.1186/s12859-018-2165-7,1,0.42
https://doi.org/10.5281/zenodo.1193639,1,0.42
https://joss.theoj.org/papers/10.21105/joss.04901,1,0.42
https://doi.org/10.5281/zenodo.4818370,1,0.42
https://doi.org/10.5281/zenodo.7660036,1,0.42
https://doi.org/10.5281/zenodo.14197271,1,0.42
http://dx.doi.org/10.5281/zenodo.60929,1,0.42
https://zenodo.org/badge/latestdoi/47132292,1,0.42
https://doi.org/10.5281/zenodo.7777894,1,0.42
https://doi.org/10.3758/s13423-021-01948-3,1,0.42
https://doi.org/10.5281/zenodo.10970631,1,0.42
https://zenodo.org/badge/latestdoi/419381885,1,0.42
https://zenodo.org/badge/latestdoi/429005385,1,0.42
https://zenodo.org/badge/latestdoi/118894019,1,0.42
https://doi.org/10.21105/joss.04493,1,0.42
https://doi.org/10.5281/zenodo.1310023,1,0.42
https://joss.theoj.org/papers/10.21105/joss.04493,1,0.42
https://doi.org/10.5281/zenodo.4725904,1,0.42
https://doi.org/10.5281/zenodo.7890716,1,0.42
