text,count,percentage
GNU General Public License,20,9.48
"Apache License, Version 2.0",13,6.16
MIT license,11,5.21
MIT,10,4.74
MIT License,9,4.27
Apache,7,3.32
CC-BY-4.0,5,2.37
Apache License 2.0,5,2.37
BSD 3-Clause,5,2.37
GNU Affero General Public License,5,2.37
BSD 3-Clause License,4,1.9
Apache 2.0,4,1.9
GNU General Public License v3.0,3,1.42
CC0-1.0,3,1.42
Apache-2.0,3,1.42
GPLv2 or any later,2,0.95
GPLv3+,2,0.95
3-clause BSD license,2,0.95
Creative Commons Attribution 4.0 International,2,0.95
GNU General Public License v3,2,0.95
CC BY-NC-SA 4.0,2,0.95
GNU Lesser General Public License,2,0.95
Apache 2.0 license,2,0.95
BSD,2,0.95
Apache 2.0 License,2,0.95
Eclipse Public License Version 2,1,0.47
MIT OSS licence,1,0.47
GPL3 licence,1,0.47
GNU General Public License v2 or later,1,0.47
CC BY 4.0 license,1,0.47
Jisk Attema Apache Software License 2.0,1,0.47
GNU General Public License v2,1,0.47
"GNU General Public License, version 3",1,0.47
AGPLv3.0,1,0.47
BSD-style custom license,1,0.47
GNU General Public License Version 3,1,0.47
LGPLv3+,1,0.47
BSD 2-Clause,1,0.47
GPLv3,1,0.47
CC BY-4.0,1,0.47
BSD-3-Clause license,1,0.47
Creative Commons Attribution 4.0 International Public License,1,0.47
Creative Commons Attribution-NoDerivatives 4.0 International Public License,1,0.47
Apache license,1,0.47
LGPL-3.0 License,1,0.47
Apache License v2.0,1,0.47
CC-BY 4.0,1,0.47
LGPL v2,1,0.47
Creative Commons Attribution-Share-Alike 3.0 License,1,0.47
GNU Free Documentation License,1,0.47
CC0,1,0.47
Apache License,1,0.47
BSD 3-clause license,1,0.47
"GNU General Public License, Version 3 or above",1,0.47
BSD License],1,0.47
MIT-License,1,0.47
Apache2 license,1,0.47
AGPL 3.0 license,1,0.47
AGPL-3.0 license,1,0.47
GNU Affero General Public License v3.0,1,0.47
CC-BY-ND-4.0,1,0.47
CC0 1.0 Universal Public Domain Dedication,1,0.47
CC BY 4.0 licence,1,0.47
MIT-licensed,1,0.47
"GNU General Public Licence, Version 3",1,0.47
Creative Commons Attribution 4.0 International (CC BY 4.0) license,1,0.47
Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International Public License,1,0.47
Apache v2,1,0.47
BSD license,1,0.47
BSD License 2.0,1,0.47
3-Clause BSD License,1,0.47
GNU GENERAL PUBLIC LICENSE version 3,1,0.47
"MIT ""Expat"" License",1,0.47
LGPL v3+ license,1,0.47
BSD-style license,1,0.47
three-clause BSD licence,1,0.47
three-clause BSD license,1,0.47
3-Clause BSD,1,0.47
LGPL,1,0.47
AGPL v3,1,0.47
AGPL-3.0-only,1,0.47
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License,1,0.47
GPL v2,1,0.47
Polyform strict license,1,0.47
GPL open source license,1,0.47
Apache Software License 2.0,1,0.47
GNU GENERAL PUBLIC LICENSE v3,1,0.47
GNU GPLv3,1,0.47
GNU GPL,1,0.47
GNU General Public License (GPL) v2 or later,1,0.47
CC-BY-SA 4.0 license,1,0.47
Creative Commons Attribution 1.0 License,1,0.47
MIT/Expat,1,0.47
GPL v3.0,1,0.47
non-free license,1,0.47
Lesser General Public License,1,0.47
Eclipse Public License,1,0.47
GNU General Public License 2.0 or later,1,0.47
BSD-3-Clause,1,0.47
GNU Affero General Public License v3.0 or later,1,0.47
MIT licence,1,0.47
BSD License,1,0.47
GPL License version 3,1,0.47
GPLv3 + GCC Runtime Library Exception,1,0.47
AGPL v3 license,1,0.47
"Apache License_, Version 2.0",1,0.47
AGPL,1,0.47
AGPL version 3,1,0.47
GPL v2.0,1,0.47
