text,count,percentage
"Tripathy, P., Rao, P., Balakrishnan, K., & Malladi, T. (2021). An open-source tool to extract natural continuity and hierarchy of urban street networks. Environment and Planning B: Urban Analytics and City Science, 48(8), 2188-2205. DOI: 10.1177/2399808320967680",2,1.5
"Marie Oestreich, Lisa Holsten, Shobhit Agrawal, Kilian Dahm, Philipp Koch, Han Jin, Matthias Becker, Thomas Ulas, hCoCena: horizontal integration and analysis of transcriptomics datasets, Bioinformatics, Volume 38, Issue 20, 15 October 2022, Pages 4727–4734, https://doi.org/10.1093/bioinformatics/btac589",1,0.75
"Sidorenko, D., Goessling, H. F., Koldunov, N. V., Scholz, P., Danilov, S., Barbi, D., et al ( 2019). Evaluation of FESOM2.0 coupled to ECHAM6.3: Pre‐industrial and HighResMIP simulations. Journal of Advances in Modeling Earth Systems, 11. https://doi.org/10.1029/2019MS001696",1,0.75
"G.P. Smith, D.M. Golden, M. Frenklach, N.W. Moriarty, B. Eiteneer, M. Goldenberg, C.T. Bowman, R.K. Hanson, S. Song, W.C.J. Gardiner, V.V. Lissianski, Z. Qin, Gri-Mech 3.0",1,0.75
"Danilov, S., Sidorenko, D., Wang, Q., and Jung, T.: The Finite-volumE Sea ice–Ocean Model (FESOM2), Geosci. Model Dev., 10, 765–789, https://doi.org/10.5194/gmd-10-765-2017, 2017",1,0.75
"Danilov, S., Q. Wang, R. Timmermann, N. Iakovlev, D. Sidorenko, M. Kimmritz, T. Jung, and Schröter, J. (2015), Finite-Element Sea Ice Model (FESIM), version 2, Geosci. Model Dev., 8, 1747–1761, http://www.geosci-model-dev.net/8/1747/2015/",1,0.75
"Scholz, P., Sidorenko, D., Gurses, O., Danilov, S., Koldunov, N., Wang, Q., Sein, D., Smolentseva, M., Rakowsky, N., and Jung, T.: Assessment of the Finite-volumE Sea ice-Ocean Model (FESOM2.0) – Part 1: Description of selected key model elements and comparison to its predecessor version, Geosci. Model Dev., 12, 4875–4899, https://doi.org/10.5194/gmd-12-4875-2019, 2019",1,0.75
"Koldunov, N. V., Aizinger, V., Rakowsky, N., Scholz, P., Sidorenko, D., Danilov, S., and Jung, T.: Scalability and some optimization of the Finite-volumE Sea ice–Ocean Model, Version 2.0 (FESOM2), Geosci. Model Dev., 12, 3991–4012, https://doi.org/10.5194/gmd-12-3991-2019, 2019",1,0.75
"Zampieri, Lorenzo, Frank Kauker, Jörg Fröhle, Hiroshi Sumata, Elizabeth C. Hunke, and Helge Goessling. Impact of Sea-Ice Model Complexity on the Performance of an Unstructured-Mesh Sea-ice/ocean Model Under Different Atmospheric Forcings. Washington: American Geophysical Union, 2020. https://dx.doi.org/10.1002/essoar.10505308.1",1,0.75
"David G. Goodwin, Harry K. Moffat, Ingmar Schoegl, Raymond L. Speth, and Bryan W. Weber. Cantera: An object-oriented software toolkit for chemical kinetics, thermodynamics, and transport processes. https://www.cantera.org, 2023. Version 3.0.0. DOI: 10.5281/zenodo.8137090",1,0.75
"Streffing, J., Sidorenko, D., Semmler, T., Zampieri, L., Scholz, P., Andrés-Martínez, M., et al ( 2022). AWI-CM3 coupled climate model: description and evaluation experiments for a prototype post-CMIP6 model. Geoscientific Model Development, 15. https://doi.org/10.5194/gmd-15-6399-2022",1,0.75
"A BaSiC Tool for Background and Shading Correction of Optical Microscopy Images\n\nby Tingying Peng, Kurt Thorn, Timm Schroeder, Lichao Wang, Fabian J Theis, Carsten Marr\, Nassir Navab\, Nature Communication 8:14836 (2017). [doi: 10.1038/ncomms14836] http://www.nature.com/articles/ncomms14836",1,0.75
"Duplay, Emmanuel. “Argon Laser-Plasma Thruster - Design and Test of a Laboratory Model.” M.Sc. Thesis, Delft University of Technology, 2024",1,0.75
"Lamm, L., Zufferey, S., Righetto, R.D., Wietrzynski, W., Yamauchi, K.A., Burt, A., Liu, Y., Zhang, H., Martinez-Sanchez, A., Ziegler, S., Isensee, F., Schnabel, J.A., Engel, B.D., and Peng, T, 2024. MemBrain v2: an end-to-end tool for the analysis of membranes in cryo-electron tomography. bioRxiv, https://doi.org/10.1101/2024.01.05.574336",1,0.75
"Isensee, F., Jaeger, P.F., Kohl, S.A.A., Petersen, J., Maier-Hein, K.H., 2021. nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation. Nature Methods 18, 203-211. https://doi.org/10.1038/s41592-020-01008-z",1,0.75
"Bers DM, Patton CW, Nuccitelli R. A practical guide to the preparation of Ca(2+) buffers. Methods Cell Biol. 2010;99:1–26",1,0.75
"Pauli Virtanen, Ralf Gommers, Travis E. Oliphant, Matt Haberland, Tyler Reddy, David Cournapeau, Evgeni Burovski, Pearu Peterson, Warren Weckesser, Jonathan Bright, Stéfan J. van der Walt, Matthew Brett, Joshua Wilson, K. Jarrod Millman, Nikolay Mayorov, Andrew R. J. Nelson, Eric Jones, Robert Kern, Eric Larson, CJ Carey, İlhan Polat, Yu Feng, Eric W. Moore, Jake VanderPlas, Denis Laxalde, Josef Perktold, Robert Cimrman, Ian Henriksen, E.A. Quintero, Charles R Harris, Anne M. Archibald, Antônio H. Ribeiro, Fabian Pedregosa, Paul van Mulbregt, and SciPy 1.0 Contributors. (2020) SciPy 1.0: Fundamental Algorithms for Scientific Computing in Python. Nature Methods, 17(3), 261-272. DOI: https://doi.org/10.1038/s41592-019-0686-2",1,0.75
"Bittner, K., Margaritis, N., Schulze-Küppers, F., Wolters, J., & Natour, G. (2023). A mathematical model for initial design iterations and feasibility studies of oxygen membrane reactors by minimizing Gibbs free energy. Journal of Membrane Science, 685, 121955. DOI: https://doi.org/10.1016/j.memsci.2023.121955",1,0.75
"Hacker, Bradley R., and Geoffrey A. Abers. “Subduction Factory 3: An Excel Worksheet and Macro for Calculating the Densities, Seismic Wave Speeds, and H2O Contents of Minerals and Rocks at Pressure and Temperature.” Geochemistry, Geophysics, Geosystems 5, no. 1 (January 1, 2004): Q01005. doi:10.1029/2003GC000614",1,0.75
"Belić, J.; van Beek, B.; Menzel, J. P.; Buda, F.; Visscher, L. Systematic Computational Design and Optimization of Light Absorbing Dyes `__. J. Phys. Chem. A 2020, 124 (31), 6380–6388. van Beek, B.; Zito, J.; Visscher, L.; Infante, I. CAT: A Compound Attachment Tool for the construction of composite chemical compounds. J. Chem. Inf. Model. (submitted)",1,0.75
"T. Klaver, E. Tjong Kim Sang, A. Bilgin, K. Smeenk, L. Hollink, J. van Ossenbruggen, F. Harbers and M. Broersma, [Introducing a transparency-driven platform for creating, comparing and explaining machine learning pipelines] https://ifarm.nl/erikt/papers/2019-ictopen.pdf (2019)",1,0.75
"K. Smeenk, A. Bilgin, T. Klaver, E. Tjong Kim Sang, L. Hollink, J. van Ossenbruggen, F. Harbers and M. Broersma, [Grounding Paradigmatic Shifts In Newspaper Reporting In Big Data. Analysing Journalism History By Using Transparent Automatic Genre Classification] https://ifarm.nl/erikt/papers/2019dh.pdf (2019)",1,0.75
"A. Bilgin, E. Tjong Kim Sang, K. Smeenk, L. Hollink, J. van Ossenbruggen, F. Harbers and M. Broersma, [Utilizing a Transparency-driven Environment toward Trusted Automatic Genre Classification: A Case Study in Journalism History] https://arxiv.org/pdf/1810.00968.pdf (2018)",1,0.75
Vu D. et al. (2014). Massive fungal biodiversity data re-annotation with multi-level clustering. Scientific Reports 4: 6837,1,0.75
"Edgar, R.C (2010). Search and clustering orders of magnitude faster than BLAST. Bioinformatics 26, 2460-2461. Paccanaro, P., Casbon, J.A. & Saqi, M.A (2006). Spectral clustering of proteins sequences. Nucleic Acids Res 34, 1571",1,0.75
"Bolten, E., Schliep, A., Schneckener, S., Schomburg D. & Schrader, R (2001). Clustering protein sequences- structure prediction by transitive homology. Bioinformatics 17, 935-941",1,0.75
"Andrade, S. B., & Andersen, D. (2020). Digital story grammar: a quantitative methodology for narrative analysis. International Journal of Social Research Methodology, 23(4), 405-421",1,0.75
"M. Murray and A. Sools, P. Rohleder, A.C. Lyons (Eds.), Qualitative research in clinical and health psychology, Palgrave MacMillan, Houndmills Basingstoke (2015), pp. 133-154",1,0.75
"Burke, K. (1969). The grammar of motives. Prentice Hall, New York. Originally published in 1945",1,0.75
"Sobolev, Stephan V., Hermann Zeyen, Gerald Stoll, Friederike Werling, Rainer Altherr, and Karl Fuchs. “Upper Mantle Temperatures from Teleseismic Tomography of French Massif Central Including Effects of Composition, Mineral Reactions, Anharmonicity, Anelasticity and Partial Melt.” Earth and Planetary Science Letters 139, no. 1–2 (März 1996): 147–63",1,0.75
"Schaeffer, A. J., and S. Lebedev. “Global Shear Speed Structure of the Upper Mantle and Transition Zone.” Geophysical Journal International 194, no. 1 (July 1, 2013): 417–49. doi:10.1093/gji/ggt095",1,0.75
"Saxena, Surendra K., and Guoyin Shen. “Assessed Data on Heat Capacity, Thermal Expansion, and Compressibility for Some Oxides and Silicates.” Journal of Geophysical Research: Solid Earth 97, no. B13 (Dezember 1992): 19813–25. doi:10.1029/92JB01555",1,0.75
"Smith RM, Martell AE. NIST Critically Selected Stability Constants of Metal Complexes Database Version 8.0. 2004",1,0.75
Computer programs for calculating total from specified free or free from specified total ionic concentrations in aqueous solutions containing multiple metals and ligands. In: Methods in Enzymology. Academic Press; 1988. p. 378–417,1,0.75
"choenmakers TJM, Visser GJ, Flik G, Theuvenet APR. CHELATOR: an improved method for computing metal ion concentrations in physiological solutions. 1992",1,0.75
"Föhr KJ, Warchol W, Gratzl M. Calculation and control of free divalent cations in solutions used for membrane fusion studies. In: Methods in Enzymology. Academic Press; 1993. p. 149–57",1,0.75
"Erik Tjong Kim Sang, [REE-HDSC: Recognizing Extracted Entities for the Historical Database Suriname Curacao] https://arxiv.org/abs/2401.02972. Technical Report, Netherlands eScience Center, doi: arXiv:2401.02972, 2023",1,0.75
"Marandi, Ahmadreza, et al. ""Extending the scope of robust quadratic optimization."" arXiv preprint arXiv:1909.01762 (2019)",1,0.75
"[Rovira-Navarro, M. & Matsuyama, I. 2022] https://ui.adsabs.harvard.edu/abs/2022AGUFM.P45E2514R/abstract., A Spectral Method to Study the Tides of Laterally Heterogenous Bodies. AGU Fall Meeting Abstracts",1,0.75
"Rovira-Navarro, M.,Matsuyama, I. & Berne, A., 2023 Revealing lateral structures in the interiors of planets and moons from tidal observations. AGU Fall Meeting Abstracts (2023)",1,0.75
"[Rovira-Navarro, M., Matsuyama, I., Berne, A. 2024] https://doi.org/10.3847/PSJ/ad381f. A Spectral Method to Compute the Tides of Laterally-Heterogeneous Bodies. Planetary Science Journal, 5",1,0.75
"[Rovira-Navarro, M., Matsuyama, I., Dirkx, D., Berne, A., Calliess, D., Fayolle, S. 2025] https://doi.org/10.1029/2025GL114708 Prospects of Using Tidal Tomography to Constrain Ganymede's Interior, Geophysical Research Letters\n",1,0.75
"Robson P Bonidia, Anderson P Avila Santos, Breno L S de Almeida, Peter F Stadler, Ulisses N da Rocha, Danilo S Sanches, André C P L F de Carvalho, BioAutoML: automated feature engineering and metalearning to predict noncoding RNAs in bacteria, Briefings in Bioinformatics, 2022, bbac218, [[DOI] https://doi.org/10.1093/bib/bbac218]",1,0.75
"J. Graesser, A. Cheriyadat, R. R. Vatsavai, V. Chandola, J. Long and E. Bright, ""Image Based Characterization of Formal and Informal Neighborhoods in an Urban Landscape"", in IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, vol. 5, no. 4, pp. 1164-1176, Aug. 2012. doi: 10.1109/JSTARS.2012.2190383",1,0.75
"Schönfeldt, Patrik and Schlüters, Sunke and Oltmanns, Keno,""MTRESS 3.0--Modell Template for Residential Energy Supply Systems"", arXiv preprint, 2022, [arXiv:2211.14080] https://arxiv.org/abs/2211.14080",1,0.75
"Zhang, Shidong. Modeling and Simulation of Polymer Electrolyte Fuel Cells. No. FZJ-2020-02318. Elektrochemische Verfahrenstechnik, 2020",1,0.75
"Zhang, Shidong, Steven B. Beale, Yan Shi, Holger Janßen, Uwe Reimer, and Werner Lehnert. ""Development of an Open-Source Solver for Polymer Electrolyte Fuel Cells."" ECS Transactions 98, no. 9 (2020): 317",1,0.75
"Zhang, Shidong, Kai Wang, Shangzhe Yu, Nicolas Kruse, Roland Peters, Felix Kunz, and Rudiger-A. Eichel. ""Multiscale and Multiphysical Numerical Simulations of Solid Oxide Cell (SOC)."" ECS Transactions 111, no. 6 (2023): 937",1,0.75
"Hess, Steffen, Shidong Zhang, Thomas Kadyk, Werner Lehnert, Michael Eikerling, and Steven B. Beale. ""Numerical Two-Phase Simulations of Alkaline Water Electrolyzers."" ECS Transactions 112, no. 4 (2023): 419",1,0.75
"Zhang, Shidong. ""Low-Temperature Polymer Electrolyte Fuel Cells."" In Electrochemical Cell Calculations with OpenFOAM, pp. 59-85. Springer, Cham, 2022",1,0.75
