text,count,percentage
pip,43,5.45
Docker,16,2.03
setuptools,14,1.77
conda,12,1.52
cmake,11,1.39
CMake,9,1.14
numpy,9,1.14
pandas,8,1.01
tox,7,0.89
matplotlib,7,0.89
prospector,6,0.76
isort,6,0.76
pytest,5,0.63
Ruby,5,0.63
virtualenv,5,0.63
PostgreSQL,5,0.63
scipy,5,0.63
PHP,4,0.51
yarn,4,0.51
Pandoc,4,0.51
gcc,4,0.51
torch,4,0.51
Mamba,4,0.51
scikit-learn,4,0.51
Apptainer,4,0.51
ruff,4,0.51
Conda,4,0.51
Matplotlib,4,0.51
rdkit,4,0.51
MPI,4,0.51
git,4,0.51
C++17,3,0.38
Julia,3,0.38
pipx,3,0.38
h5py,3,0.38
Apache Maven,3,0.38
R,3,0.38
miniconda,3,0.38
NumPy,3,0.38
Poetry,3,0.38
Python,3,0.38
LAPACK,3,0.38
Ansible,3,0.38
anaconda,3,0.38
docker,3,0.38
npm,3,0.38
poetry,3,0.38
Docker Compose,3,0.38
GDAL,3,0.38
renv,2,0.25
libfreetype6-dev,2,0.25
make,2,0.25
libxml2-dev,2,0.25
Orange3-network,2,0.25
poppler,2,0.25
prettier,2,0.25
RStudio,2,0.25
Orange3-text,2,0.25
bower,2,0.25
grunt-cli,2,0.25
seaborn,2,0.25
Python2,2,0.25
BLAS,2,0.25
gnuplot,2,0.25
GNU Compiler,2,0.25
libopenblas-dev,2,0.25
python3,2,0.25
Anaconda,2,0.25
libomp,2,0.25
python3-pip,2,0.25
netCDF,2,0.25
jax,2,0.25
jupyter,2,0.25
Snakemake,2,0.25
 Docker,2,0.25
Tailwind CSS,2,0.25
mamba,2,0.25
Miniforge,2,0.25
Sphinx,2,0.25
build-essential,2,0.25
OTP,2,0.25
Minio,2,0.25
CWLTool,2,0.25
Apache Tika,2,0.25
SQLite,2,0.25
OpenGL,2,0.25
LaTeX,2,0.25
unittest,2,0.25
CUDA,2,0.25
MySQL,2,0.25
Java,2,0.25
lapack,2,0.25
http-server,2,0.25
Cypress,2,0.25
Microsoft Visual Studio,2,0.25
juliaup,2,0.25
Rust,2,0.25
tensorflow,2,0.25
SciPy,2,0.25
python-Levenshtein,2,0.25
jupytext,2,0.25
Apache,2,0.25
mypy,2,0.25
mbstring,2,0.25
imagemagick,2,0.25
bump2version,2,0.25
venv,2,0.25
sphinx,2,0.25
sphinx-rtd-theme,2,0.25
sphinx-autoapi,2,0.25
myst-nb,2,0.25
nginx,2,0.25
Z3,2,0.25
nodejs,2,0.25
Singularity,2,0.25
Java SE,2,0.25
MariaDB,2,0.25
pygame,2,0.25
torchvision,2,0.25
miniforge,2,0.25
Qt,2,0.25
pytorch,2,0.25
opencv,1,0.13
XeLaTeX,1,0.13
tesserocr,1,0.13
Grunt,1,0.13
PDAL,1,0.13
GRIB_API,1,0.13
pydicom,1,0.13
DuMux,1,0.13
yapf,1,0.13
SimpleITK,1,0.13
pylops,1,0.13
Rtools,1,0.13
Xcode,1,0.13
Java/JDK,1,0.13
SDKMAN,1,0.13
libblas-dev,1,0.13
utils,1,0.13
Pentaho,1,0.13
osmium,1,0.13
osmium tool,1,0.13
osmium-tool,1,0.13
zlib1g-dev,1,0.13
VUE.js,1,0.13
libsqlite3-dev,1,0.13
PHPRunner,1,0.13
sqlite3,1,0.13
pl/pgsql,1,0.13
Google Test,1,0.13
