text,count,percentage
1.8,3,2.68
>= 0.18,2,1.79
3.16+,2,1.79
7+,2,1.79
>= 2.0.1,2,1.79
21,2,1.79
22.7+,2,1.79
11.0+,2,1.79
2.0.3,1,0.89
4.5+,1,0.89
>= 3.8,1,0.89
3.35.0 (or higher),1,0.89
2019+,1,0.89
14,1,0.89
3.1+,1,0.89
2023.1+,1,0.89
3.18+,1,0.89
3.21+,1,0.89
3.22+,1,0.89
3.16 or higher,1,0.89
14.0.1+,1,0.89
15.0,1,0.89
5+,1,0.89
>= 2.0,1,0.89
>= 1.13,1,0.89
2024-03,1,0.89
8.315,1,0.89
11.0 or higher,1,0.89
9.6,1,0.89
≥ 10.3.38,1,0.89
≥ 12,1,0.89
≥ 8.0,1,0.89
≥ 7.4,1,0.89
≥ 1.1,1,0.89
≥ 2.4,1,0.89
1.10.2,1,0.89
1.7.1,1,0.89
1.7,1,0.89
2.4,1,0.89
8,1,0.89
2.0 or higher,1,0.89
6.4,1,0.89
7.1,1,0.89
8.X or higher,1,0.89
3.7.3 or higher,1,0.89
9.1 or higher,1,0.89
17 or higher,1,0.89
3.1.4 or higher,1,0.89
3.2.3 or higher,1,0.89
5.34 or higher,1,0.89
3.0 or higher,1,0.89
3.10 or higher,1,0.89
2.6.0,1,0.89
1.9 or later,1,0.89
1.1 or higher,1,0.89
>=1.13.1,1,0.89
>=3.0,1,0.89
>=0.12.2,1,0.89
>=3.7.0,1,0.89
>=1.2,1,0.89
>=0.56.4,1,0.89
>=1.10.0,1,0.89
>=1.18,1,0.89
< 3.1,1,0.89
>= 1.11,1,0.89
4.7 or higher,1,0.89
4.05.0,1,0.89
5.6.0 or higher,1,0.89
2.3.0,1,0.89
>= version 6.0,1,0.89
2.7.4,1,0.89
2.4.5,1,0.89
>= 2.0.0,1,0.89
>= 3.0.0,1,0.89
>=12,1,0.89
3,1,0.89
2.70 or newer,1,0.89
>=1.9.1,1,0.89
>=0.6,1,0.89
>=1.2.0,1,0.89
>=9.2,1,0.89
2,1,0.89
0.3.10,1,0.89
3.10,1,0.89
18.3 or newer,1,0.89
18.1 or newer,1,0.89
>= 2.17,1,0.89
2.8.0 or lower,1,0.89
4.39.0 or higher,1,0.89
>= 1.1.2,1,0.89
>= 1.0,1,0.89
>= 0.7.1,1,0.89
>= 1.16.0,1,0.89
>= 0.11.0,1,0.89
3.6 or newer,1,0.89
2.13.1,1,0.89
>= 1.12.3,1,0.89
>= 3.5.2,1,0.89
3.5.2,1,0.89
1.12.3,1,0.89
1.8 or higher,1,0.89
==1.15,1,0.89
≥ 2016,1,0.89
