label,total_count,unique_count,diversity_ratio,high_repetition_count,risk_level
OPERATING_SYSTEM,249,34,0.13654618473895583,2,HIGH
RUNTIME_PLATFORM,101,15,0.1485148514851485,1,HIGH
LICENSE,209,107,0.5119617224880383,0,MEDIUM
RUNTIME_PLATFORM_VERSION,105,57,0.5428571428571428,0,MEDIUM
SOFTWARE_REQUIREMENTS,786,481,0.6119592875318066,0,LOW
LICENSE_URL,138,102,0.7391304347826086,0,LOW
SOFTWARE_REQUIREMENTS_URL,270,232,0.8592592592592593,0,LOW
REFERENCE_PUBLICATION_URL,75,68,0.9066666666666666,0,LOW
DOCUMENTATION_URL,230,209,0.908695652173913,0,LOW
SOFTWARE_REQUIREMENTS_VERSION,117,108,0.9230769230769231,0,LOW
CITATION_URL,240,223,0.9291666666666667,0,LOW
BUILD_INSTRUCTIONS,72,68,0.9444444444444444,0,LOW
RELATED_LINK,50,49,0.98,0,LOW
REFERENCE_PUBLICATION,133,132,0.9924812030075187,0,LOW
CITATION,162,161,0.9938271604938271,0,LOW
CONTINUOUS_INTEGRATION,38,38,1.0,0,LOW
CITATION_BIBTEX,62,62,1.0,0,LOW
REFERENCE_PUBLICATION_BIBTEX,4,4,1.0,4,LOW
