software_name,software_url,repository_url,all_github_links,organization,repository_name,owner_repo_pattern,source
KNIME Pharmacophore,https://research-software-directory.org/software/3d-e-chem-knime-pharmacophore,https://github.com/3D-e-Chem/knime-pharmacophore,['https://github.com/3D-e-Chem/knime-pharmacophore'],3D-e-Chem,knime-pharmacophore,3D-e-Chem/knime-pharmacophore,RSD
KNIME PLANTS,https://research-software-directory.org/software/3d-e-chem-knime-plants,https://github.com/3D-e-Chem/knime-plants,['https://github.com/3D-e-Chem/knime-plants'],3D-e-Chem,knime-plants,3D-e-Chem/knime-plants,RSD
KNIME Python node archetype,https://research-software-directory.org/software/3d-e-chem-knime-python-node-archetype,https://github.com/3D-e-Chem/knime-python-node-archetype,['https://github.com/3D-e-Chem/knime-python-node-archetype'],3D-e-Chem,knime-python-node-archetype,3D-e-Chem/knime-python-node-archetype,RSD
KNIME Python wrapper,https://research-software-directory.org/software/3d-e-chem-knime-python-wrapper,https://github.com/3D-e-Chem/knime-python-wrapper,['https://github.com/3D-e-Chem/knime-python-wrapper'],3D-e-Chem,knime-python-wrapper,3D-e-Chem/knime-python-wrapper,RSD
KNIME Silicos-it nodes,https://research-software-directory.org/software/3d-e-chem-knime-silicos-it,https://github.com/3D-e-Chem/knime-silicos-it,['https://github.com/3D-e-Chem/knime-silicos-it'],3D-e-Chem,knime-silicos-it,3D-e-Chem/knime-silicos-it,RSD
SyGMa,https://research-software-directory.org/software/3d-e-chem-sygma,https://github.com/3D-e-Chem/sygma,['https://github.com/3D-e-Chem/sygma'],3D-e-Chem,sygma,3D-e-Chem/sygma,RSD
3D-e-Chem Virtual Machine,https://research-software-directory.org/software/3d-e-chem-vm,https://github.com/3D-e-Chem/3D-e-Chem-VM,['https://github.com/3D-e-Chem/3D-e-Chem-VM'],3D-e-Chem,3D-e-Chem-VM,3D-e-Chem/3D-e-Chem-VM,RSD
3D Slicer,https://research-software-directory.org/software/3d-slicer,https://github.com/Slicer/Slicer,['https://github.com/Slicer/Slicer'],Slicer,Slicer,Slicer/Slicer,RSD
4CAT Capture & Analysis Toolkit,https://research-software-directory.org/software/4cat,https://github.com/strohne/Facepager,"['https://github.com/strohne/Facepager', 'https://github.com/digitalmethodsinitiative/4cat', 'https://github.com/digitalmethodsinitiative/zeeschuimer']",strohne,Facepager,strohne/Facepager,RSD
Argon Laser-Plasma Thruster - Design and Test of a Laboratory Model - Processing and Analysis Code,https://research-software-directory.org/software/4tu-argon-laser-plasma-thruster-design-and-test-of-a-laboratory-model-processing-and-analysis-code,https://github.com/eeduplay/MScThesis,['https://github.com/eeduplay/MScThesis'],eeduplay,MScThesis,eeduplay/MScThesis,RSD
Bluesky software: underlying the publication “Distributed Conflict Resolution at High Traffic Densities with Reinforcement Learning”,https://research-software-directory.org/software/4tu-bluesky-software-underlying-the-publication-distributed-conflict-resolution-at-high-traffic-densities-with-reinforcement-learning,https://github.com/TUDelft-CNS-ATM/bluesky,['https://github.com/TUDelft-CNS-ATM/bluesky'],TUDelft-CNS-ATM,bluesky,TUDelft-CNS-ATM/bluesky,RSD
Bluesky software: underlying the publication “Improving Algorithm Conflict Resolution Manoeuvres with Reinforcement Learning”,https://research-software-directory.org/software/4tu-bluesky-software-underlying-the-publication-improving-algorithm-conflict-resolution-manoeuvres-with-reinforcement-learning,https://github.com/TUDelft-CNS-ATM/bluesky,['https://github.com/TUDelft-CNS-ATM/bluesky'],TUDelft-CNS-ATM,bluesky,TUDelft-CNS-ATM/bluesky,RSD
Code belonging to the publication: Closed-loop model-predictive wind farm flow control under time-varying inflow using FLORIDyn,https://research-software-directory.org/software/4tu-code-belonging-to-the-publication-closed-loop-model-predictive-wind-farm-flow-control-under-time-varying-inflow-using-floridyn,https://github.com/TUDelft-DataDrivenControl/OFF,"['https://github.com/TUDelft-DataDrivenControl/SOWFA', 'https://github.com/TUDelft-DataDrivenControl/OFF']",TUDelft-DataDrivenControl,OFF,TUDelft-DataDrivenControl/OFF,RSD
"Code related to ""Loudspeaker Beamforming to Enhance Speech Recognition Performance of Voice Driven Applications""",https://research-software-directory.org/software/4tu-code-related-to-loudspeaker-beamforming-to-enhance-speech-recognition-performance-of-voice-driven-applications,https://github.com/D1mme/LoudspeakerBeamformingForVoiceDrivenApplications,['https://github.com/D1mme/LoudspeakerBeamformingForVoiceDrivenApplications'],D1mme,LoudspeakerBeamformingForVoiceDrivenApplications,D1mme/LoudspeakerBeamformingForVoiceDrivenApplications,RSD
CRSUTIL Coordinate and Time Reference System Matlab Toolbox,https://research-software-directory.org/software/4tu-crsutil-coordinate-and-time-reference-system-matlab-toolbox,https://github.com/hvandermarel/crsutil-matlab-toolbox,['https://github.com/hvandermarel/crsutil-matlab-toolbox'],hvandermarel,crsutil-matlab-toolbox,hvandermarel/crsutil-matlab-toolbox,RSD
"data_analysis - Supporting material for ""A hardware-efficient leakage-reduction scheme for quantum error correction with superconducting transmon qubits""",https://research-software-directory.org/software/4tu-data-analysis-supporting-material-for-a-hardware-efficient-leakage-reduction-scheme-for-quantum-error-correction-with-superconducting-transmon-qubits,https://github.com/obriente/qgarden,['https://github.com/obriente/qgarden'],obriente,qgarden,obriente/qgarden,RSD
Data for 'Performance metrics for the continuous distribution of entanglement in multi-user quantum networks',https://research-software-directory.org/software/4tu-data-for-performance-metrics-for-the-continuous-distribution-of-entanglement-in-multi-user-quantum-networks,https://github.com/AlvaroGI/optimizing-cd-protocols,['https://github.com/AlvaroGI/optimizing-cd-protocols'],AlvaroGI,optimizing-cd-protocols,AlvaroGI/optimizing-cd-protocols,RSD
endogenous-macrodynamics-in-algorithmic-recourse,https://research-software-directory.org/software/4tu-endogenous-macrodynamics-in-algorithmic-recourse,https://github.com/pat-alt/endogenous-macrodynamics-in-algorithmic-recourse,['https://github.com/pat-alt/endogenous-macrodynamics-in-algorithmic-recourse'],pat-alt,endogenous-macrodynamics-in-algorithmic-recourse,pat-alt/endogenous-macrodynamics-in-algorithmic-recourse,RSD
FLORIDyn (OFF toolbox) Code and input files underlying the publication: Wind pattern clustering of high frequent field measurements for dynamic wind farm flow control,https://research-software-directory.org/software/4tu-floridyn-off-toolbox-code-and-input-files-underlying-the-publication-wind-pattern-clustering-of-high-frequent-field-measurements-for-dynamic-wind-farm-flow-control,https://github.com/NREL/floris,['https://github.com/NREL/floris'],NREL,floris,NREL/floris,RSD
FluvGAN: Python scripts to test generating and inverting fluvial deposits using GANs,https://research-software-directory.org/software/4tu-fluvgan-python-scripts-to-test-generating-and-inverting-fluvial-deposits-using-gans,https://github.com/grongier/voxgan,"['https://github.com/childmodel/child', 'https://github.com/grongier/voxgan']",grongier,voxgan,grongier/voxgan,RSD
GNSS-Perl-toolbox,https://research-software-directory.org/software/4tu-gnss-perl-toolbox,https://github.com/hvandermarel/GNSS-Perl-toolbox,['https://github.com/hvandermarel/GNSS-Perl-toolbox'],hvandermarel,GNSS-Perl-toolbox,hvandermarel/GNSS-Perl-toolbox,RSD
GNSS Precise Point Positioning (PPP) Matlab Toolbox,https://research-software-directory.org/software/4tu-gnss-precise-point-positioning-ppp-matlab-toolbox,https://github.com/hvandermarel/gnss-ppp-matlab-toolbox,['https://github.com/hvandermarel/gnss-ppp-matlab-toolbox'],hvandermarel,gnss-ppp-matlab-toolbox,hvandermarel/gnss-ppp-matlab-toolbox,RSD
International Terrestrial Reference Frame (ITRF) Matlab Toolbox,https://research-software-directory.org/software/4tu-international-terrestrial-reference-frame-itrf-matlab-toolbox,https://github.com/hvandermarel/itrf-matlab-toolbox,['https://github.com/hvandermarel/itrf-matlab-toolbox'],hvandermarel,itrf-matlab-toolbox,hvandermarel/itrf-matlab-toolbox,RSD
IUI2025_ConvXAI,https://research-software-directory.org/software/4tu-iui2025-convxai,https://github.com/delftcrowd/IUI2025_ConvXAI,['https://github.com/delftcrowd/IUI2025_ConvXAI'],delftcrowd,IUI2025_ConvXAI,delftcrowd/IUI2025_ConvXAI,RSD
