software_name,software_url,repository_url,all_github_links,organization,repository_name,owner_repo_pattern,source
3D-e-Chem Virtual Machine,https://research-software-directory.org/software/3d-e-chem-vm,https://github.com/3D-e-Chem/3D-e-Chem-VM,['https://github.com/3D-e-Chem/3D-e-Chem-VM'],3D-e-Chem,3D-e-Chem-VM,3D-e-Chem/3D-e-Chem-VM,RSD
4C Multiphysics,https://helmholtz.software/software/4c-multiphysics,https://github.com/4C-multiphysics/4C,['https://github.com/4C-multiphysics/4C'],4C-multiphysics,4C,4C-multiphysics/4C,HELMHOLTZ
compareMS2,https://research-software-directory.org/software/comparems2,https://github.com/524D/compareMS2,['https://github.com/524D/compareMS2'],524D,compareMS2,524D/compareMS2,RSD
AMBER,https://research-software-directory.org/software/amber,https://github.com/AA-ALERT/AMBER,['https://github.com/AA-ALERT/AMBER'],AA-ALERT,AMBER,AA-ALERT/AMBER,RSD
evidence,https://research-software-directory.org/software/evidence,https://github.com/ADAH-EviDENce/evidence,['https://github.com/ADAH-EviDENce/evidence'],ADAH-EviDENce,evidence,ADAH-EviDENce/evidence,RSD
Lilio,https://research-software-directory.org/software/lilio,https://github.com/AI4S2S/lilio,['https://github.com/AI4S2S/lilio'],AI4S2S,lilio,AI4S2S/lilio,RSD
ANNUBeS,https://research-software-directory.org/software/annubes,https://github.com/ANNUBS/annubes,"['https://github.com/neurogym/neurogym', 'https://github.com/ANNUBS/annubes', 'https://github.com/audreyr/cookiecutter', 'https://github.com/NLeSC/python-template']",ANNUBS,annubes,ANNUBS/annubes,RSD
ARTIST,https://helmholtz.software/software/artist,https://github.com/ARTIST-Association/ARTIST,['https://github.com/ARTIST-Association/ARTIST'],ARTIST-Association,ARTIST,ARTIST-Association/ARTIST,HELMHOLTZ
Data for 'Performance metrics for the continuous distribution of entanglement in multi-user quantum networks',https://research-software-directory.org/software/4tu-data-for-performance-metrics-for-the-continuous-distribution-of-entanglement-in-multi-user-quantum-networks,https://github.com/AlvaroGI/optimizing-cd-protocols,['https://github.com/AlvaroGI/optimizing-cd-protocols'],AlvaroGI,optimizing-cd-protocols,AlvaroGI/optimizing-cd-protocols,RSD
PyChelator,https://research-software-directory.org/software/pychelator,https://github.com/AmruteLab/PyChelator,['https://github.com/AmruteLab/PyChelator'],AmruteLab,PyChelator,AmruteLab/PyChelator,RSD
Arena-Crowds,https://research-software-directory.org/software/arena-crowds,https://github.com/ArenA-Crowds/Crowds,['https://github.com/ArenA-Crowds/Crowds'],ArenA-Crowds,Crowds,ArenA-Crowds/Crowds,RSD
PiGx,https://helmholtz.software/software/pigx,https://github.com/BIMSBbioinfo/pigx,"['https://github.com/BIMSBbioinfo/pigx_chipseq', 'https://github.com/BIMSBbioinfo/pigx_bsseq', 'https://github.com/BIMSBbioinfo/pigx_scrnaseq', 'https://github.com/BIMSBbioinfo/pigx', 'https://github.com/BIMSBbioinfo/pigx_rnaseq', 'https://github.com/BIMSBbioinfo/pigx_crispr']",BIMSBbioinfo,pigx,BIMSBbioinfo/pigx,HELMHOLTZ
DoE2Vec,https://research-software-directory.org/software/doe2vec,https://github.com/Basvanstein/doe2vec,['https://github.com/Basvanstein/doe2vec'],Basvanstein,doe2vec,Basvanstein/doe2vec,RSD
Nature Counts,https://research-software-directory.org/software/nature-counts,https://github.com/BirdsCanada/naturecounts,['https://github.com/BirdsCanada/naturecounts'],BirdsCanada,naturecounts,BirdsCanada/naturecounts,RSD
BlueObelisk Euclid,https://research-software-directory.org/software/blueobelisk-euclid,https://github.com/BlueObelisk/euclid,['https://github.com/BlueObelisk/euclid'],BlueObelisk,euclid,BlueObelisk/euclid,RSD
BioAutoML - Democratizing Machine Learning in Life Sciences,https://helmholtz.software/software/bioautoml,https://github.com/Bonidia/BioAutoML,['https://github.com/Bonidia/BioAutoML'],Bonidia,BioAutoML,Bonidia/BioAutoML,HELMHOLTZ
ShockHash,https://helmholtz.software/software/shockhash,https://github.com/ByteHamster/ShockHash,['https://github.com/ByteHamster/ShockHash'],ByteHamster,ShockHash,ByteHamster/ShockHash,HELMHOLTZ
Aviator,https://helmholtz.software/software/aviator,https://github.com/CCB-SB/Aviator,['https://github.com/CCB-SB/Aviator'],CCB-SB,Aviator,CCB-SB/Aviator,HELMHOLTZ
Continuous Integration of Architectural Performance Models (CIPM),https://helmholtz.software/software/cipm,https://github.com/CIPM-tools/CIPM,['https://github.com/CIPM-tools/CIPM'],CIPM-tools,CIPM,CIPM-tools/CIPM,HELMHOLTZ
