Project,Fields_with_GT,Model_Precision,Model_Recall,Model_F1,SOMEF_Precision,SOMEF_Recall,SOMEF_F1,Model_Field_Wins,SOMEF_Field_Wins,Ties,Overall_Winner,Winner_Emoji,F1_Difference
qc2,3,0.8888888888888888,0.8148148148148148,0.8472222222222222,0.0,0.0,0.0,3,0,0,Model,🤖,0.8472222222222222
ReSurfEMG,6,0.8333333333333334,0.7916666666666666,0.8095238095238096,0.0,0.0,0.0,5,0,1,Model,🤖,0.8095238095238096
iBridges-GUI,5,0.72,0.8,0.75,0.0,0.0,0.0,4,0,1,Model,🤖,0.75
opensim-core,5,0.8533333333333333,0.82,0.8133333333333332,0.2,0.04,0.06666666666666668,5,0,0,Model,🤖,0.7466666666666666
APE,6,0.8333333333333334,0.6904761904761904,0.7083333333333334,0.0,0.0,0.0,5,0,1,Model,🤖,0.7083333333333334
NNPDF,4,0.625,0.625,0.625,0.0,0.0,0.0,3,0,1,Model,🤖,0.625
LUE,4,0.8125,1.0,0.85,0.25,0.25,0.25,3,0,1,Model,🤖,0.6
Cesium-ncWMS,7,0.35714285714285715,0.39999999999999997,0.37362637362637363,0.0,0.0,0.0,3,0,4,Model,🤖,0.37362637362637363
AutoPQ,2,0.25,0.25,0.25,0.0,0.0,0.0,1,0,1,Model,🤖,0.25
admtools,4,0.25,0.25,0.25,0.08333333333333333,0.25,0.125,1,1,2,Model,🤖,0.125
