Project,Method,Precision,Recall,F1-Score,Fields_Covered
LUE,NER Model,0.778,1.000,0.833,3
LUE,SOMEF,0.000,0.000,0.000,5
ReSurfEMG,NER Model,0.800,0.800,0.800,5
ReSurfEMG,SOMEF,0.000,0.000,0.000,2
APE,NER Model,0.667,0.624,0.628,6
APE,SOMEF,0.000,0.000,0.000,0
NNPDF,NER Model,0.542,0.625,0.575,3
NNPDF,SOMEF,0.000,0.000,0.000,8
opensim-core,NER Model,0.422,0.533,0.467,3
opensim-core,SOMEF,0.167,0.067,0.095,5
iBridges-GUI,NER Model,0.750,0.750,0.750,3
iBridges-GUI,SOMEF,0.000,0.000,0.000,5
AutoPQ,NER Model,0.250,0.250,0.250,2
AutoPQ,SOMEF,0.000,0.000,0.000,1
Cesium-ncWMS,NER Model,0.375,0.450,0.404,3
Cesium-ncWMS,SOMEF,0.000,0.000,0.000,8
admtools,NER Model,0.250,0.250,0.250,3
admtools,SOMEF,0.000,0.000,0.000,9
qc2,NER Model,0.952,0.778,0.850,3
qc2,SOMEF,0.000,0.000,0.000,3
