Project,Model_Precision,Model_Recall,Model_F1,SOMEF_Precision,SOMEF_Recall,SOMEF_F1,GT_Fields,Model_Fields,SOMEF_Fields
LUE,0.833,1.000,0.875,0.000,0.000,0.000,4,4,6
ReSurfEMG,0.833,0.792,0.810,0.000,0.000,0.000,6,6,3
APE,0.667,0.624,0.628,0.000,0.000,0.000,6,6,0
NNPDF,0.542,0.625,0.575,0.000,0.000,0.000,4,3,8
opensim-core,0.653,0.580,0.591,0.100,0.040,0.057,5,5,6
iBridges-GUI,0.720,0.800,0.750,0.000,0.000,0.000,5,4,6
AutoPQ,0.250,0.250,0.250,0.000,0.000,0.000,2,2,1
Cesium-ncWMS,0.357,0.400,0.374,0.000,0.000,0.000,7,4,10
admtools,0.250,0.250,0.250,0.083,0.250,0.125,4,3,14
qc2,0.952,0.778,0.850,0.000,0.000,0.000,3,3,3
