Project,Model_Precision,Model_Recall,Model_F1,SOMEF_Precision,SOMEF_Recall,SOMEF_F1,GT_Fields,Model_Fields,SOMEF_Fields
LUE,0.812,1.000,0.850,0.250,0.250,0.250,4,4,6
ReSurfEMG,0.833,0.792,0.810,0.000,0.000,0.000,6,6,3
APE,0.833,0.690,0.708,0.000,0.000,0.000,6,6,0
NNPDF,0.625,0.625,0.625,0.000,0.000,0.000,4,3,6
opensim-core,0.853,0.820,0.813,0.200,0.040,0.067,5,5,5
iBridges-GUI,0.720,0.800,0.750,0.000,0.000,0.000,5,4,4
AutoPQ,0.250,0.250,0.250,0.000,0.000,0.000,2,2,1
Cesium-ncWMS,0.357,0.400,0.374,0.000,0.000,0.000,7,5,8
admtools,0.250,0.250,0.250,0.083,0.250,0.125,4,3,13
qc2,0.889,0.815,0.847,0.000,0.000,0.000,3,3,2
