Project,Model_F1,SOMEF_F1,Overall_Winner,F1_Difference
qc2,0.8472222222222222,0.0,Model,0.8472222222222222
ReSurfEMG,0.8095238095238096,0.0,Model,0.8095238095238096
iBridges-GUI,0.75,0.0,Model,0.75
opensim-core,0.8133333333333332,0.06666666666666668,Model,0.7466666666666666
APE,0.7083333333333334,0.0,Model,0.7083333333333334
NNPDF,0.625,0.0,Model,0.625
LUE,0.85,0.25,Model,0.6
Cesium-ncWMS,0.37362637362637363,0.0,Model,0.37362637362637363
AutoPQ,0.25,0.0,Model,0.25
admtools,0.25,0.125,Model,0.125
